"key","rule","severity","component","line","message","status","type"
"AaAIL-rYKije7nS9n6d2","githubactions:S6506","MAJOR","ASIF418_SecureFlow-VulnerableCodebase:.github/workflows/devsecops-pipeline.yml","28","Not disabling redirects might allow for redirections to insecure websites. Make sure it is safe here.","OPEN","VULNERABILITY"
"AaAIL-pNKije7nS9n6dy","kubernetes:S6596","MAJOR","ASIF418_SecureFlow-VulnerableCodebase:infra/kubernetes/base/auth-service.yaml","20","Use a specific version tag for the image instead of ""latest"".","OPEN","CODE_SMELL"
"AaAIL-pNKije7nS9n6dw","kubernetes:S6428","MAJOR","ASIF418_SecureFlow-VulnerableCodebase:infra/kubernetes/base/auth-service.yaml","40","Ensure that enabling privileged mode is safe here.","OPEN","VULNERABILITY"
"AaAIL-pNKije7nS9n6dx","kubernetes:S6430","MAJOR","ASIF418_SecureFlow-VulnerableCodebase:infra/kubernetes/base/auth-service.yaml","41","Make sure that enabling privilege escalation is safe here.","OPEN","VULNERABILITY"
"AaAIL-o_Kije7nS9n6dr","kubernetes:S5332","MINOR","ASIF418_SecureFlow-VulnerableCodebase:infra/kubernetes/base/configmap.yaml","13","Make sure that using clear-text protocols is safe here.","OPEN","VULNERABILITY"
"AaAIL-o_Kije7nS9n6ds","kubernetes:S5332","MINOR","ASIF418_SecureFlow-VulnerableCodebase:infra/kubernetes/base/configmap.yaml","14","Make sure that using clear-text protocols is safe here.","OPEN","VULNERABILITY"
"AaAIL-pGKije7nS9n6dv","kubernetes:S6596","MAJOR","ASIF418_SecureFlow-VulnerableCodebase:infra/kubernetes/base/frontend.yaml","18","Use a specific version tag for the image instead of ""latest"".","OPEN","CODE_SMELL"
"AaAIL-pGKije7nS9n6dt","kubernetes:S6428","MAJOR","ASIF418_SecureFlow-VulnerableCodebase:infra/kubernetes/base/frontend.yaml","25","Ensure that enabling privileged mode is safe here.","OPEN","VULNERABILITY"
"AaAIL-pGKije7nS9n6du","kubernetes:S6430","MAJOR","ASIF418_SecureFlow-VulnerableCodebase:infra/kubernetes/base/frontend.yaml","26","Make sure that enabling privilege escalation is safe here.","OPEN","VULNERABILITY"
"AaAIL-rQKije7nS9n6d1","kubernetes:S6596","MAJOR","ASIF418_SecureFlow-VulnerableCodebase:infra/kubernetes/base/transaction-service.yaml","18","Use a specific version tag for the image instead of ""latest"".","OPEN","CODE_SMELL"
"AaAIL-rQKije7nS9n6dz","kubernetes:S6428","MAJOR","ASIF418_SecureFlow-VulnerableCodebase:infra/kubernetes/base/transaction-service.yaml","37","Ensure that enabling privileged mode is safe here.","OPEN","VULNERABILITY"
"AaAIL-rQKije7nS9n6d0","kubernetes:S6430","MAJOR","ASIF418_SecureFlow-VulnerableCodebase:infra/kubernetes/base/transaction-service.yaml","38","Make sure that enabling privilege escalation is safe here.","OPEN","VULNERABILITY"
"AaAIL-ohKije7nS9n6dd","terraform:S6302","BLOCKER","ASIF418_SecureFlow-VulnerableCodebase:infra/terraform/modules/iam/main.tf","52","Make sure granting all privileges is safe here.","OPEN","VULNERABILITY"
"AaAIL-owKije7nS9n6df","terraform:S6364","MAJOR","ASIF418_SecureFlow-VulnerableCodebase:infra/terraform/modules/rds/main.tf","35","Omitting ""backup_retention_period"" results in a short backup retention duration. Make sure it is safe here.","OPEN","VULNERABILITY"
"AaAIL-owKije7nS9n6dg","terraform:S8793","BLOCKER","ASIF418_SecureFlow-VulnerableCodebase:infra/terraform/modules/rds/main.tf","46","Make sure allowing public network access is safe here.","OPEN","VULNERABILITY"
"AaAIL-owKije7nS9n6dh","terraform:S6303","MAJOR","ASIF418_SecureFlow-VulnerableCodebase:infra/terraform/modules/rds/main.tf","47","Make sure that using unencrypted RDS DB Instances is safe here.","OPEN","VULNERABILITY"
"AaAIL-owKije7nS9n6di","terraform:S6364","MAJOR","ASIF418_SecureFlow-VulnerableCodebase:infra/terraform/modules/rds/main.tf","55","Omitting ""backup_retention_period"" results in a short backup retention duration. Make sure it is safe here.","OPEN","VULNERABILITY"
"AaAIL-owKije7nS9n6dj","terraform:S8793","BLOCKER","ASIF418_SecureFlow-VulnerableCodebase:infra/terraform/modules/rds/main.tf","66","Make sure allowing public network access is safe here.","OPEN","VULNERABILITY"
"AaAIL-owKije7nS9n6dk","terraform:S6303","MAJOR","ASIF418_SecureFlow-VulnerableCodebase:infra/terraform/modules/rds/main.tf","67","Make sure that using unencrypted RDS DB Instances is safe here.","OPEN","VULNERABILITY"
"AaAIL-o4Kije7nS9n6do","terraform:S6249","MINOR","ASIF418_SecureFlow-VulnerableCodebase:infra/terraform/modules/s3/main.tf","7","No bucket policy enforces HTTPS-only access to this bucket.","OPEN","VULNERABILITY"
"AaAIL-o4Kije7nS9n6dp","terraform:S6258","MAJOR","ASIF418_SecureFlow-VulnerableCodebase:infra/terraform/modules/s3/main.tf","7","Make sure that disabling logging is safe here.","OPEN","VULNERABILITY"
"AaAIL-o4Kije7nS9n6dl","terraform:S6281","CRITICAL","ASIF418_SecureFlow-VulnerableCodebase:infra/terraform/modules/s3/main.tf","20","Disabling public access block settings allows public ACL/policies to be set on this S3 bucket.","OPEN","VULNERABILITY"
"AaAIL-o4Kije7nS9n6dn","terraform:S6249","MINOR","ASIF418_SecureFlow-VulnerableCodebase:infra/terraform/modules/s3/main.tf","29","No bucket policy enforces HTTPS-only access to this bucket.","OPEN","VULNERABILITY"
"AaAIL-o4Kije7nS9n6dq","terraform:S6258","MAJOR","ASIF418_SecureFlow-VulnerableCodebase:infra/terraform/modules/s3/main.tf","29","Make sure that disabling logging is safe here.","OPEN","VULNERABILITY"
"AaAIL-o4Kije7nS9n6dm","terraform:S6281","CRITICAL","ASIF418_SecureFlow-VulnerableCodebase:infra/terraform/modules/s3/main.tf","34","Disabling public access block settings allows public ACL/policies to be set on this S3 bucket.","OPEN","VULNERABILITY"
"AaAIL-ooKije7nS9n6de","terraform:S6321","MINOR","ASIF418_SecureFlow-VulnerableCodebase:infra/terraform/modules/vpc/main.tf","60","Restrict IP addresses authorized to access administration services.","OPEN","VULNERABILITY"
"AaAIL-n7Kije7nS9n6dG","docker:S6471","MINOR","ASIF418_SecureFlow-VulnerableCodebase:services/auth-service/Dockerfile","2","The ""python"" image runs with ""root"" as the default user. Make sure it is safe here.","OPEN","VULNERABILITY"
"AaAIL-n7Kije7nS9n6dH","docker:S8541","MAJOR","ASIF418_SecureFlow-VulnerableCodebase:services/auth-service/Dockerfile","7","Omitting ""--only-binary :all:"" can lead to the execution of setup scripts. Make sure it is safe here.","OPEN","VULNERABILITY"
"AaAIL-n7Kije7nS9n6dI","docker:S8544","MAJOR","ASIF418_SecureFlow-VulnerableCodebase:services/auth-service/Dockerfile","7","Using dependencies without locking resolved versions is security-sensitive.","OPEN","VULNERABILITY"
"AaAIL-l6Kije7nS9n6dB","python:S4502","CRITICAL","ASIF418_SecureFlow-VulnerableCodebase:services/auth-service/app.py","12","Make sure disabling CSRF protection is safe here.","OPEN","VULNERABILITY"
"AaAIL-l6Kije7nS9n6dC","python:S4790","CRITICAL","ASIF418_SecureFlow-VulnerableCodebase:services/auth-service/app.py","32","Make sure that hashing data is safe here.","OPEN","VULNERABILITY"
"AaAIL-l6Kije7nS9n6dD","python:S6965","MAJOR","ASIF418_SecureFlow-VulnerableCodebase:services/auth-service/app.py","35","Specify the HTTP methods this route should accept.","OPEN","CODE_SMELL"
"AaAIL-l6Kije7nS9n6dE","python:S8392","BLOCKER","ASIF418_SecureFlow-VulnerableCodebase:services/auth-service/app.py","162","Avoid binding the application to all network interfaces.","OPEN","VULNERABILITY"
"AaAIL-l6Kije7nS9n6dF","python:S4507","MINOR","ASIF418_SecureFlow-VulnerableCodebase:services/auth-service/app.py","162","Make sure this debug feature is deactivated before delivering the code in production.","OPEN","VULNERABILITY"
"AaAIL-oKKije7nS9n6dS","docker:S6471","MINOR","ASIF418_SecureFlow-VulnerableCodebase:services/frontend/Dockerfile","2","The ""python"" image runs with ""root"" as the default user. Make sure it is safe here.","OPEN","VULNERABILITY"
"AaAIL-oKKije7nS9n6dT","docker:S8541","MAJOR","ASIF418_SecureFlow-VulnerableCodebase:services/frontend/Dockerfile","7","Omitting ""--only-binary :all:"" can lead to the execution of setup scripts. Make sure it is safe here.","OPEN","VULNERABILITY"
"AaAIL-oKKije7nS9n6dU","docker:S8544","MAJOR","ASIF418_SecureFlow-VulnerableCodebase:services/frontend/Dockerfile","7","Using dependencies without locking resolved versions is security-sensitive.","OPEN","VULNERABILITY"
"AaAIL-oDKije7nS9n6dJ","python:S4502","CRITICAL","ASIF418_SecureFlow-VulnerableCodebase:services/frontend/app.py","10","Make sure disabling CSRF protection is safe here.","OPEN","VULNERABILITY"
"AaAIL-oDKije7nS9n6dK","python:S5332","MINOR","ASIF418_SecureFlow-VulnerableCodebase:services/frontend/app.py","16","Using HTTP protocol is insecure. Use HTTPS instead.","OPEN","VULNERABILITY"
"AaAIL-oDKije7nS9n6dL","python:S5332","MINOR","ASIF418_SecureFlow-VulnerableCodebase:services/frontend/app.py","17","Using HTTP protocol is insecure. Use HTTPS instead.","OPEN","VULNERABILITY"
"AaAIL-oDKije7nS9n6dM","python:S6965","MAJOR","ASIF418_SecureFlow-VulnerableCodebase:services/frontend/app.py","75","Specify the HTTP methods this route should accept.","OPEN","CODE_SMELL"
"AaAIL-oDKije7nS9n6dN","python:S6965","MAJOR","ASIF418_SecureFlow-VulnerableCodebase:services/frontend/app.py","129","Specify the HTTP methods this route should accept.","OPEN","CODE_SMELL"
"AaAIL-oDKije7nS9n6dO","python:S6965","MAJOR","ASIF418_SecureFlow-VulnerableCodebase:services/frontend/app.py","173","Specify the HTTP methods this route should accept.","OPEN","CODE_SMELL"
"AaAIL-oDKije7nS9n6dP","python:S6965","MAJOR","ASIF418_SecureFlow-VulnerableCodebase:services/frontend/app.py","179","Specify the HTTP methods this route should accept.","OPEN","CODE_SMELL"
"AaAIL-oDKije7nS9n6dQ","python:S8392","BLOCKER","ASIF418_SecureFlow-VulnerableCodebase:services/frontend/app.py","185","Avoid binding the application to all network interfaces.","OPEN","VULNERABILITY"
"AaAIL-oDKije7nS9n6dR","python:S4507","MINOR","ASIF418_SecureFlow-VulnerableCodebase:services/frontend/app.py","185","Make sure this debug feature is deactivated before delivering the code in production.","OPEN","VULNERABILITY"
"AaAIL-oZKije7nS9n6da","docker:S6471","MINOR","ASIF418_SecureFlow-VulnerableCodebase:services/transaction-service/Dockerfile","2","The ""python"" image runs with ""root"" as the default user. Make sure it is safe here.","OPEN","VULNERABILITY"
"AaAIL-oZKije7nS9n6db","docker:S8541","MAJOR","ASIF418_SecureFlow-VulnerableCodebase:services/transaction-service/Dockerfile","7","Omitting ""--only-binary :all:"" can lead to the execution of setup scripts. Make sure it is safe here.","OPEN","VULNERABILITY"
"AaAIL-oZKije7nS9n6dc","docker:S8544","MAJOR","ASIF418_SecureFlow-VulnerableCodebase:services/transaction-service/Dockerfile","7","Using dependencies without locking resolved versions is security-sensitive.","OPEN","VULNERABILITY"
"AaAIL-oSKije7nS9n6dV","python:S4502","CRITICAL","ASIF418_SecureFlow-VulnerableCodebase:services/transaction-service/app.py","10","Make sure disabling CSRF protection is safe here.","OPEN","VULNERABILITY"
"AaAIL-oSKije7nS9n6dW","python:S5332","MINOR","ASIF418_SecureFlow-VulnerableCodebase:services/transaction-service/app.py","12","Using HTTP protocol is insecure. Use HTTPS instead.","OPEN","VULNERABILITY"
"AaAIL-oSKije7nS9n6dX","python:S6965","MAJOR","ASIF418_SecureFlow-VulnerableCodebase:services/transaction-service/app.py","47","Specify the HTTP methods this route should accept.","OPEN","CODE_SMELL"
"AaAIL-oSKije7nS9n6dY","python:S8392","BLOCKER","ASIF418_SecureFlow-VulnerableCodebase:services/transaction-service/app.py","201","Avoid binding the application to all network interfaces.","OPEN","VULNERABILITY"
"AaAIL-oSKije7nS9n6dZ","python:S4507","MINOR","ASIF418_SecureFlow-VulnerableCodebase:services/transaction-service/app.py","201","Make sure this debug feature is deactivated before delivering the code in production.","OPEN","VULNERABILITY"
